Experiment name: EXP_0_1
Epoch [269/400], Average Loss: 4.3122e-04, Test Loss: 4.2766e-04, Current_LR:0.0001
Epoch [270/400], Average Loss: 4.2961e-04, Test Loss: 4.3374e-04, Current_LR:0.0001
Epoch [271/400], Average Loss: 4.3057e-04, Test Loss: 4.2804e-04, Current_LR:0.0001
Epoch [272/400], Average Loss: 4.3355e-04, Test Loss: 4.5709e-04, Current_LR:0.0001
Epoch [273/400], Average Loss: 4.2706e-04, Test Loss: 4.3441e-04, Current_LR:0.0001
Epoch [274/400], Average Loss: 4.2907e-04, Test Loss: 4.3757e-04, Current_LR:0.0001
Epoch [275/400], Average Loss: 4.2779e-04, Test Loss: 4.2751e-04, Current_LR:0.0001
Epoch [276/400], Average Loss: 4.2852e-04, Test Loss: 4.2864e-04, Current_LR:0.0001
Epoch [277/400], Average Loss: 4.2598e-04, Test Loss: 4.3365e-04, Current_LR:0.0001
Epoch [278/400], Average Loss: 4.2544e-04, Test Loss: 4.3008e-04, Current_LR:0.0001
